t (s),V (mV)
0,21.6638
0.999,21.5494
2,21.4497
2.999,21.3544
3.999,21.2561
5,21.1491
5.999,21.0471
7,20.9407
7.999,20.838
8.999,20.7346
10,20.6302
10.999,20.5273
12,20.4241
13,20.3204
14,20.2139
14.999,20.1174
16,20.0098
17,19.9101
17.999,19.8121
19,19.7108
20,19.6083
21,19.5137
21.999,19.4172
23,19.3163
24,19.2204
24.999,19.1233
25.999,19.0255
26.999,18.9291
28,18.8335
29,18.7385
29.999,18.6465
30.999,18.5515
32,18.457
32.999,18.3652
34,18.2748
34.999,18.1827
35.999,18.0881
37,17.9969
38,17.9069
38.999,17.8187
39.999,17.7266
41,17.6396
41.999,17.5522
43,17.4623
43.999,17.3744
45,17.286
45.999,17.2016
47,17.1152
47.999,17.0272
49,16.9406
49.999,16.8533
51,16.7705
51.999,16.6881
53,16.6017
53.999,16.5172
55,16.4344
55.999,16.3527
56.999,16.2705
58,16.1885
59,16.1065
59.999,16.0258
61,15.9454
61.999,15.863
63,15.7998
63.999,15.7234
64.999,15.6462
66,15.5638
66.999,15.486
67.999,15.4056
69,15.3273
70,15.2487
70.999,15.1706
71.999,15.0959
73,15.0174
74,14.9421
74.999,14.8634
75.999,14.7863
77,14.7115
77.999,14.6365
78.999,14.56
80,14.4855
80.999,14.4118
81.999,14.3378
83,14.2629
83.999,14.1879
84.999,14.1178
86,14.046
86.999,13.9732
87.999,13.9002
88.999,13.8316
89.999,13.7608
90.999,13.6886
92,13.6206
92.999,13.5518
93.999,13.4793
95,13.4165
95.999,13.3422
97,13.2713
97.999,13.2029
99,13.1428
100,13.0684
100.999,13.0036
102,12.9384
103,12.8713
103.999,12.8048
105,12.738
105.999,12.6715
107,12.6065
108,12.5392
109,12.4719
109.999,12.4114
110.999,12.3473
112,12.2846
112.999,12.2204
113.999,12.1562
115,12.0938
115.999,12.0318
116.999,11.9576
118,11.9047
119,11.8434
120,11.7722
120.999,11.7085
121.999,11.6624
123,11.5986
124,11.5374
125,11.4796
125.999,11.4184
126.999,11.3572
127.999,11.2985
129,11.2401
130,11.1806
131,11.1224
131.999,11.0643
132.999,11.0051
133.999,10.9481
135,10.889
135.999,10.8332
136.999,10.7756
138,10.7182
138.999,10.6604
139.999,10.6056
140.998,10.5491
141.999,10.4937
142.998,10.4392
143.998,10.3816
144.999,10.3266
145.998,10.2702
146.998,10.2146
147.998,10.1623
148.998,10.1098
149.999,10.0592
150.998,10.0017
151.999,9.9486
