x см,h₁ дел.,h₂ дел.,h₃ дел.,h₄ дел.,ν,δ,ν₁,ν₂,σν₂
10.5,1.1,0.85,0.9,3.1,0.55,1.29411764705882,0.991747672093011,0.554576547519658,0.0587468507351823
10,2.2,2.4,2.4,4,0.25,0.916666666666667,0.999054373310961,0.250236630436316,0.0209560187684376
12,2.3,0.8,2.6,3.8,0.1875,2.875,0.875139352661325,0.214251592537585,0.0275600265951755
14,2.2,1.2,2.3,4.6,0.333333333333333,1.83333333333333,0.955769224074819,0.348759224441443,0.0277357579146377
16,2.2,3.2,4.7,7,0.196581196581197,0.6875,0.982703641586785,0.20004118053717,0.0115487274836935
18,2.2,1.2,2.6,4.2,0.235294117647059,1.83333333333333,0.955769224074819,0.246182981958665,0.023256990813023
22,2.2,2.2,3.8,5.2,0.155555555555556,1,1,0.155555555555556,0.0137786199600053
26,2.2,3.9,4.8,5.6,0.0769230769230769,0.564102564102564,0.960381542024709,0.0800963716575655,0.0109312209754515
30,2.2,1,3.2,3.3,0.0153846153846153,2.2,0.927024810886958,0.0165956889221721,0.0168857338060872
36,2.2,2,4.2,4.4,0.0232558139534884,1.1,0.998865569685859,0.0232822260164622,0.0119390303780897
42,2.2,0.6,2.6,3.2,0.103448275862069,3.66666666666667,0.82065180664829,0.126056233623092,0.027081742141864
46,2.2,1.2,3.4,3.6,0.0285714285714286,1.83333333333333,0.955769224074819,0.0298936478092665,0.015459776583278
50,2.2,0.8,3,3,0,2.75,0.884433277428107,0,0
56,2.4,0.4,2.6,2.8,0.037037037037037,6,0.699854212223765,0.0529210746897599,0.028910583126497
62,2.4,0.4,2.8,3,0.0344827586206897,6,0.699854212223765,0.0492713454008111,0.0268570303841497
64,2.4,0.4,2.6,3,0.0714285714285714,6,0.699854212223765,0.102062072615966,0.0324880677236807
66,2.4,0.4,2.6,3.2,0.103448275862069,6,0.699854212223765,0.147814036202433,0.0372187045214636
70,2.4,0.4,2.8,3.2,0.0666666666666667,6,0.699854212223765,0.0952579344415681,0.0302268328837662
74,2.4,0.8,2.6,4,0.212121212121212,3,0.866025403784439,0.244936477838023,0.0292673934446609
76,2.5,1,2.7,4.3,0.228571428571429,2.5,0.903507902905251,0.25298221281347,0.0255149416009122
78,2.8,1.2,3.2,4.6,0.179487179487179,2.33333333333333,0.916515138991168,0.195836568160506,0.0196394806320248
82,3.2,1.6,4.4,5.2,0.0833333333333333,2,0.942809041582063,0.0883883476483184,0.0124997456842619
88,3.4,2.2,3.4,4,0.0810810810810811,1.54545454545455,0.976771023655525,0.0830093021982148,0.0151621275340903
