II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4 В задерж,,1 дел = 5 В,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6)," max (в дел.)",3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,min (в дел.),3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6 В,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6)," max (в дел.)",3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,min (в дел.),3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8 В,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6)," max (в дел.)",3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,min (в дел.),4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4 В задерж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6),"I, мкА",15,70,108,135,145,156,204,310,380,420,513,589,693,796,886,923,956,992,1028,1047,1060,1077,1078,1065,1056,1042,1028,978,654,680,701,735,762,813,889,916,1004,1098,1272,1514,1713,,,,,,,,,,
,"U, В",0.04,1.27,2.04,2.60,2.80,3.01,4,5.61,6.61,7.18,8.58,9.75,11.37,13.08,14.59,15.22,15.75,16.46,17.16,17.50,17.90,18.49,18.93,19.67,20.09,20.57,21.05,22.17,23.41,24.69,24.92,25.27," 25.52",26.01,26.65,27.05,27.94,28.87,30.66,33.18,35.57,,,,,,,,,,
,6 В задерж.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"I, мкА",4,107,165,304,397,474,585,702,850,944,1016,1005,996,966,930,906,684,533,419,374,356,362,434,477,556,580,661,724,814,1190,1390,1460,1458,1460,1457,1455,1433,1400,1355,1295,1245,1201,1169,1135,1126,1118,1113,1111,1121,1145,1201
,"U, В",1.37,3.94,5.07,7.12,8.43,9.54,11.29,13.17,15.62,17.22,19.69,20.01,20.45,21.10,21.66,22.02,22.83,23.20,23.80,24.28,24.86,25.49,26.55,26.94,27.58,27.75,28.46,29,29.81,33.38,35.23,37.3,37.94,38.52,38.96,39.34,39.71,40.13,40.66,41.6,42.44,43.3,44.17,45,45.52,46.01,46.59,47.09,47.92,49,50.69
,8 В задерж.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"I, мкА",8,19,84,265,396,397,575,747,820,887,916,928,930,935,927,908,828,798,587,441,308,230,175,154,152,161,210,380,697,1039,1147,1161,1144,1122,1163,1160,,,,,,,,,,,,,,,
,"U, В",2.46,4.13,5.37,8.30,9.31,10.08,12.39,15.58,16.79,17.96,18.78,19.13,19.45,20,20.93,21.52,22.70,22,23.19,23.53,24.05,24.56,25.11,25.47,26.03,26.47,27.53,29.92,32,35.24,37.25,38.99,39.65,40,38.56,39.19,,,,,,,,,,,,,,,
